City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Walvis Bay,NA,2022-02-08 15:44:31,-22.9575,14.5053,76.08,77,52,7.02
230,Delemont,CH,2022-02-08 15:44:32,47.3649,7.3445,51.67,66,4,0.89
231,East London,ZA,2022-02-08 15:44:32,-33.0153,27.9116,83.34,69,0,13.8
232,Sakakah,SA,2022-02-08 15:44:32,29.9697,40.2064,69.37,26,0,6.73
233,Ribeira Grande,PT,2022-02-08 15:44:33,38.5167,-28.7,64.8,68,20,9.22
234,Hamilton,US,2022-02-08 15:42:57,39.1834,-84.5333,29.41,73,100,10.36
235,Kokoda,PG,2022-02-08 15:44:33,-8.8785,147.7407,74.62,94,100,1.28
236,Inyonga,TZ,2022-02-08 15:44:33,-6.7167,32.0667,69.44,87,50,1.57
237,Bardiyah,LY,2022-02-08 15:44:34,31.7561,25.0865,54.21,77,31,27.11
238,Nikolskoye,RU,2022-02-08 15:44:34,59.7035,30.7861,30.09,97,100,3.71
239,Ngama,TD,2022-02-08 15:44:34,11.7833,17.1667,91.08,8,5,9.46
240,Innisfail,AU,2022-02-08 15:44:35,-17.5333,146.0333,72.52,90,64,3.27
241,Iisalmi,FI,2022-02-08 15:44:35,63.5592,27.1907,24.82,95,100,5.32
242,Thompson,CA,2022-02-08 15:44:35,55.7435,-97.8558,19.56,86,100,4.61
243,Marsaxlokk,MT,2022-02-08 15:44:36,35.8419,14.5431,57.07,41,20,9.22
244,Otofuke,JP,2022-02-08 15:44:36,42.9917,143.2003,7.77,91,16,5.23
245,Baringo,KE,2022-02-08 15:44:36,0.4667,35.9667,83.35,25,47,19.62
246,Presidencia Roque Saenz Pena,AR,2022-02-08 15:44:36,-26.7852,-60.4388,91.78,15,3,3.42
247,Manzhouli,CN,2022-02-08 15:44:37,49.6,117.4333,1.53,97,49,6.96
248,Luderitz,NA,2022-02-08 15:44:37,-26.6481,15.1594,75.88,64,4,5.39
249,Reo,BF,2022-02-08 15:44:37,12.3167,-2.4667,94.87,8,79,10.29
250,Chadiza,ZM,2022-02-08 15:44:38,-14.0678,32.4392,69.85,89,66,1.32
251,Hambantota,LK,2022-02-08 15:44:38,6.1241,81.1185,79.14,78,20,12.66
252,Hofn,IS,2022-02-08 15:44:38,64.2539,-15.2082,32.52,81,100,28.45
253,Gwadar,PK,2022-02-08 15:44:39,25.1216,62.3254,71.29,57,0,14.36
254,Bima,ID,2022-02-08 15:44:39,-8.4667,118.7167,76.91,93,100,1.05
255,Kande,TG,2022-02-08 15:44:40,9.9578,1.0447,95.34,7,3,5.26
256,Gashua,NG,2022-02-08 15:44:40,12.871,11.0482,87.17,8,80,12.93
257,Provideniya,RU,2022-02-08 15:44:40,64.3833,-173.3,-15.45,86,1,11.74
258,Olafsvik,IS,2022-02-08 15:40:24,64.8945,-23.7142,32.32,85,100,29.46
259,Severo-Kurilsk,RU,2022-02-08 15:44:41,50.6789,156.125,30.15,97,96,16.55
260,Sorong,ID,2022-02-08 15:44:41,-0.8833,131.25,76.33,93,100,4.29
261,Boffa,GN,2022-02-08 15:44:41,10.1667,-14.0333,90.5,46,89,13.96
262,Nuuk,GL,2022-02-08 15:41:50,64.1835,-51.7216,5.61,72,75,16.11
263,Oriximina,BR,2022-02-08 15:44:42,-1.7656,-55.8661,88.2,59,67,2.71
264,Qaqortoq,GL,2022-02-08 15:44:42,60.7167,-46.0333,0.1,52,0,18.34
265,Northam,GB,2022-02-08 15:44:42,51.0333,-4.2167,53.38,86,75,16.44
266,Zhangye,CN,2022-02-08 15:44:43,38.9342,100.4517,17.46,71,92,3.11
267,Emerald,AU,2022-02-08 15:44:43,-23.5333,148.1667,77.14,69,100,10.36
268,Thunder Bay,CA,2022-02-08 15:42:09,48.4001,-89.3168,27.55,88,75,4.61
269,Gigmoto,PH,2022-02-08 15:44:43,13.7796,124.39,77.58,79,98,10.74
270,Singaraja,ID,2022-02-08 15:45:44,-8.112,115.0882,83.97,87,89,6.89
271,Cozumel,MX,2022-02-08 15:45:44,20.5083,-86.9458,77.95,83,20,3.44
272,Vila Velha,BR,2022-02-08 15:45:45,-20.3297,-40.2925,89.55,67,20,12.66
273,Norman Wells,CA,2022-02-08 15:45:45,65.282,-126.8329,-30.96,68,75,2.3
274,El Dorado,US,2022-02-08 15:45:45,38.7666,-120.5177,55.42,51,9,8.79
275,Palauig,PH,2022-02-08 15:45:46,15.435,119.9045,78.28,79,8,4.9
276,Keti Bandar,PK,2022-02-08 15:45:46,24.1447,67.4497,71.2,63,0,11.41
277,Zeya,RU,2022-02-08 15:45:46,53.75,127.2667,-6.39,98,22,3.62
278,Leningradskiy,RU,2022-02-08 15:45:46,69.3833,178.4167,-26.63,82,17,3.6
279,Sangmelima,CM,2022-02-08 15:45:47,2.9333,11.9833,93.27,14,7,3.13
280,Coolum Beach,AU,2022-02-08 15:45:47,-26.5333,153.1,70.11,85,3,7.18
281,Liverpool,GB,2022-02-08 15:45:47,53.4106,-2.9779,55.69,85,75,18.41
282,Maldonado,UY,2022-02-08 15:45:48,-34.6667,-54.9167,74.59,55,95,6.96
283,Yuryevets,RU,2022-02-08 15:45:48,57.3201,43.1041,30.6,98,100,10.56
284,Kieta,PG,2022-02-08 15:45:48,-6.2167,155.6333,80.1,86,100,5.03
