City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Coruripe,BR,85.95,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
430,Cap Malheureux,MU,79.29,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
431,Pimentel,PE,80.89,few clouds,-6.8367,-79.9342,Casona Del Muelle
436,Bibiani,GH,89.37,clear sky,6.4635,-2.3194,Rodick Hotel
437,Port-Gentil,GA,80.19,moderate rain,-0.7193,8.7815,Fengshui Residence
439,Bonthe,SL,82.45,clear sky,7.5264,-12.505,Bonthe Holiday Village
444,Indramayu,ID,79.41,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
445,La Asuncion,VE,71.33,few clouds,11.0333,-63.8628,Colinas de Matasiete
447,Bowen,AU,73.62,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
448,Mundgod,IN,70.11,clear sky,14.9667,75.0333,Shreeraj Residency Lodge
450,Illapel,CL,75.51,broken clouds,-31.6308,-71.1653,Hotel Londres
453,Richards Bay,ZA,74.46,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
456,Salinopolis,BR,80.1,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
461,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
465,High Rock,BS,75.22,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
466,Sampit,ID,73.49,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
467,Bumba,CD,81.66,scattered clouds,2.1833,22.4667,Père Carlos
471,Kulhudhuffushi,MV,80.85,broken clouds,6.6221,73.07,Haajy Guest House 1
473,Waingapu,ID,76.05,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
475,Dwarka,IN,70.74,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
483,Mahajanga,MG,80.62,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
497,Mangrol,IN,70.38,clear sky,21.1167,70.1167,Hotel The Royal Honours
500,Namibe,AO,74.93,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
504,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
507,Nobres,BR,81.81,overcast clouds,-14.7203,-56.3275,Hotel Portal Nobres
508,Prado,BR,82.71,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
509,Mweka,CD,70.0,light rain,-4.85,21.5667,Guest House Boshab
512,Olavarria,AR,84.02,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
514,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
515,Okitipupa,NG,81.66,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
527,Anloga,GH,86.22,clear sky,5.7947,0.8973,Pin Drop Hotel
530,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
533,Progreso,MX,80.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
534,Benguela,AO,77.22,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
535,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
538,Tres Lagoas,BR,86.49,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
540,Labuhan,ID,75.87,light rain,-6.8844,112.2051,DoubleFAG
542,Isangel,VU,79.81,overcast clouds,-19.55,169.2667,Tanna Lodge
543,Humaita,BR,86.29,broken clouds,-7.5061,-63.0208,Corrêa Hotel
546,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,Hotel Flamingo
552,Vanimo,PG,79.02,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
560,Keti Bandar,PK,70.68,clear sky,24.1447,67.4497,Haji laloo memon house
561,Mahibadhoo,MV,81.55,overcast clouds,3.7833,72.9667,Omadhoo Inn
570,Warri,NG,83.05,broken clouds,5.5167,5.75,BON Hotel Delta
572,Auki,SB,77.45,very heavy rain,-8.7676,160.7034,Auki Motel
573,Kirakira,SB,78.17,overcast clouds,-10.4544,161.9205,SanBiz Lodge
577,Grand-Lahou,CI,81.86,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
579,Mitsamiouli,KM,82.69,thunderstorm,-11.3847,43.2844,Foyer ADM
580,Beira,MZ,82.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
582,Ribas Do Rio Pardo,BR,89.22,overcast clouds,-20.4431,-53.7592,Pousada Avenida
584,Lompoc,US,81.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
585,Aracati,BR,87.58,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
587,Ankazoabo,MG,80.33,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
588,Coahuayana,MX,87.48,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
591,Kota Bahru,MY,76.98,scattered clouds,6.1333,102.2386,Grand Riverview Hotel
596,Berbera,SO,75.83,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
598,Les Cayes,HT,80.26,scattered clouds,18.2,-73.75,Villa Orphee
599,Bontang,ID,75.96,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
